Date,Patients_per_day,Temp_Max,Temp_Min,Temp_Mean,Precipitation,Snowfall,Day_of_week_sin,Day_of_week_cos,Month_sin,Month_cos,Day_of_month_sin,Day_of_month_cos,Day_of_week_1,Day_of_week_2,Day_of_week_3,Day_of_week_4,Day_of_week_5,Day_of_week_6,Weekend,patients_3d_avg,patients_3d_std,patients_14d_avg,patients_14d_std,patients_30d_avg,patients_30d_std,annual_sin_1,annual_cos_1,annual_sin_2,annual_cos_2,annual_sin_3,annual_cos_3,weekly_sin_1,weekly_cos_1,weekly_sin_2,weekly_cos_2,half_week_sin_1,half_week_cos_1,short_cycle_sin_1,short_cycle_cos_1,patients_lag_1,patients_lag_2,patients_lag_3,patients_lag_7,patients_lag_14,patients_lag_21,patients_lag_28,patients_change_1d,patients_change_7d
2024-05-19,40,24.5,11.6,18.4,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.49999999999999983,-0.4853019625310808,-0.8743466161445822,False,False,False,False,False,True,1,61.666666666666664,9.865765724632427,62.857142857142854,12.666473875533043,60.266666666666666,12.045698426189864,-0.07733361695682096,0.9970052716452285,-0.15420404756268666,0.9880390233767514,-0.23015087970124276,0.9731549581504192,-0.9749279121818211,-0.22252093395632533,0.43388373911757827,-0.9009688679024094,0.43388373911757827,-0.9009688679024094,-0.8169698930106561,-0.5766803221145638,57.0,73.0,55.0,57.0,51.0,46.0,37.0,-16.0,6.0
2024-05-20,89,16.2,10.3,13.1,0.0,0.0,0.0,1.0,0.8660254037844387,-0.49999999999999983,-0.651372482722222,-0.7587581226927911,False,False,False,False,False,False,0,56.666666666666664,16.50252505931537,62.07142857142857,13.753121523797875,59.93333333333333,12.470470868341792,-0.06017211345349499,0.9981880167396019,-0.12012616518234896,0.9927586335250794,-0.1796448837103157,0.9837315262594297,-0.7818314824680589,0.623489801858697,-0.9749279121818027,-0.22252093395640557,-0.9749279121818027,-0.22252093395640557,0.5195839500355569,0.8544194045464135,40.0,57.0,73.0,65.0,89.0,72.0,71.0,-17.0,-24.0
2024-05-21,66,19.3,6.2,13.5,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.49999999999999983,-0.7907757369376986,-0.6121059825476627,True,False,False,False,False,False,0,62.0,24.879710609249432,62.07142857142857,13.753121523797875,61.03333333333333,13.522607719675603,-0.04299280405372191,0.9990753819405211,-0.08590610426133241,0.9963032375991966,-0.1286605437981039,0.991688693325469,-8.231607228307296e-14,1.0,-1.6463214456614593e-13,1.0,-1.6463214456614593e-13,1.0,-0.13616664909639015,-0.990685946036311,89.0,40.0,57.0,81.0,56.0,64.0,64.0,49.0,25.0
2024-05-22,70,20.4,8.1,14.9,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.49999999999999983,-0.8978045395707417,-0.44039415155763423,False,True,False,False,False,False,0,65.0,24.515301344262504,62.785714285714285,13.672986120469444,62.0,12.760391303047758,-0.02580077239154163,0.999667104662347,-0.05158436686940928,0.9986686402879997,-0.0773336169568184,0.9970052716452286,0.7818314824679563,0.6234898018588257,0.974927912181876,-0.22252093395608455,0.974927912181876,-0.22252093395608455,-0.2697967711571032,0.9629172873477772,66.0,89.0,40.0,57.0,66.0,65.0,62.0,-23.0,-9.0
2024-05-23,72,22.4,10.0,16.7,0.0,0.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.49999999999999983,-0.9680771188662041,-0.2506525322587213,False,False,True,False,False,False,0,75.0,12.288205727444483,63.07142857142857,13.786639495229764,61.96666666666667,12.737355686525277,-0.008601105865714402,0.9999630098048061,-0.017201575418259094,0.9998520419557736,-0.025800772391547936,0.9996671046623469,0.9749279121818072,-0.22252093395638647,-0.43388373911769135,-0.900968867902355,-0.43388373911769135,-0.900968867902355,0.6310879443259396,-0.775711290704512,70.0,66.0,89.0,55.0,43.0,60.0,67.0,4.0,12.0
2024-05-24,80,20.4,14.1,16.6,8.4,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.49999999999999983,-0.9987165071710528,-0.05064916883871355,False,False,False,True,False,False,0,69.33333333333333,3.0550504633037465,65.14285714285714,12.672545387309016,62.233333333333334,12.864501634297806,0.0086011058657152,0.9999630098048061,0.017201575418260687,0.9998520419557735,0.025800772391537895,0.9996671046623471,0.43388373911752354,-0.9009688679024358,-0.781831482467982,0.6234898018587935,-0.781831482467982,0.6234898018587935,-0.8878852184023078,0.46006503773128216,72.0,70.0,66.0,73.0,75.0,53.0,74.0,2.0,-2.0
2024-05-25,54,23.4,11.9,17.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.49999999999999983,-0.9884683243281114,0.15142777750457667,False,False,False,False,True,False,1,74.0,5.291502622129119,65.5,13.03692979430122,62.833333333333336,13.26671576263082,0.02580077239154065,0.9996671046623471,0.05158436686940732,0.9986686402879998,0.07733361695682256,0.9970052716452283,-0.4338837391175607,-0.9009688679024179,0.7818314824680334,0.6234898018587292,0.7818314824680334,0.6234898018587292,0.9976687691905447,-0.06824241336459073,80.0,72.0,70.0,57.0,55.0,45.0,42.0,8.0,2.0
2024-05-26,57,24.2,12.2,18.7,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.49999999999999983,-0.9377521321470804,0.3473052528448203,False,False,False,False,False,True,1,68.66666666666667,13.316656236958748,65.42857142857143,13.101463721598135,62.4,13.33804514446785,0.04299280405372093,0.9990753819405213,0.08590610426133045,0.9963032375991967,0.128660543798101,0.9916886933254694,-0.9749279121818163,-0.22252093395634634,0.43388373911761713,-0.9009688679023907,0.43388373911761713,-0.9009688679023907,-0.9422609221187938,-0.33487961217106144,54.0,80.0,72.0,40.0,57.0,51.0,46.0,-26.0,-17.0
2024-05-27,72,23.3,14.5,19.0,2.4,0.0,0.0,1.0,0.8660254037844387,-0.49999999999999983,-0.848644257494751,0.5289640103269624,False,False,False,False,False,False,0,63.666666666666664,14.224392195567866,65.42857142857143,13.101463721598135,61.833333333333336,13.188509453656835,0.06017211345349579,0.9981880167396018,0.12012616518235054,0.9927586335250793,0.1796448837103128,0.9837315262594303,-0.7818314824680015,0.623489801858769,-0.9749279121818438,-0.22252093395622594,-0.9749279121818438,-0.22252093395622594,0.7308359642782251,0.682553143218546,57.0,54.0,80.0,89.0,65.0,89.0,72.0,3.0,24.0
2024-05-28,76,25.1,13.1,19.5,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.49999999999999983,-0.72479278722912,0.6889669190756865,True,False,False,False,False,False,0,61.0,9.643650760992882,65.92857142857143,13.216913905553502,62.833333333333336,12.76331848895792,0.07733361695682177,0.9970052716452283,0.15420404756268824,0.9880390233767511,0.2301508797012399,0.9731549581504199,9.809554005910592e-15,1.0,1.9619108011821184e-14,1.0,1.9619108011821184e-14,1.0,-0.3984010898463777,-0.9172113015053939,72.0,57.0,54.0,66.0,81.0,56.0,64.0,15.0,-15.0
